text,label
I feel so happy today!,happy
This is the best day ever!,happy
I am thrilled with the results!,happy
Life feels wonderful right now.,happy
I can’t stop smiling!,happy
Everything is going perfectly.,happy
I am overjoyed with this news.,happy
I feel cheerful and energetic.,happy
This moment makes me so delighted.,happy
I am in a fantastic mood!,happy
I feel sad and lonely.,sad
Nothing seems to be going right.,sad
I am heartbroken.,sad
I feel down today.,sad
Everything feels hopeless.,sad
I am disappointed with the outcome.,sad
I feel miserable right now.,sad
Life seems so unfair.,sad
I am in a gloomy mood.,sad
I feel sorrowful and tired.,sad
I am really angry at what happened.,angry
This makes me so frustrated!,angry
I can’t believe this injustice!,angry
I feel furious right now.,angry
How could they do this to me?,angry
I am mad and upset.,angry
I feel outraged by the situation.,angry
This is completely unacceptable!,angry
I am seething with anger.,angry
I feel irritated and annoyed.,angry
I feel nothing special today.,neutral
Life is just okay.,neutral
I don’t feel any strong emotions.,neutral
Today is just another ordinary day.,neutral
I am neither happy nor sad.,neutral
Everything seems normal.,neutral
I feel indifferent about this.,neutral
Nothing much to report.,neutral
I feel calm and relaxed.,neutral
I am in a neutral state of mind.,neutral
Wow! I did not expect that!,surprise
That was completely unexpected!,surprise
I am amazed by this!,surprise
What a shocking turn of events!,surprise
I can’t believe what just happened!,surprise
This is astonishing!,surprise
I feel so surprised right now.,surprise
I did not see that coming!,surprise
That was unbelievable!,surprise
I am stunned by this news!,surprise
